task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2f/f144a7	254552	GENERATE_CSV_FROM_FASTQ_DIR (Auto-generate CSV)	COMPLETED	0	2025-10-10 13:45:38.717	109ms	41ms	99.4%	9.1 MB	16 MB	822 KB	15.4 KB
3	d8/d73f75	254706	FREYJA_ALIGN (Aligning mixture_10)	COMPLETED	0	2025-10-10 13:45:38.913	1.2s	1.2s	187.6%	24 MB	377.5 MB	26.3 MB	15.1 MB
4	e7/d1f959	255045	FREYJA_ALIGN (Aligning mixture_10)	COMPLETED	0	2025-10-10 13:45:40.166	1.2s	1.1s	186.4%	24.8 MB	433.5 MB	26.7 MB	15.5 MB
5	42/98bb22	255294	FREYJA_ALIGN (Aligning mixture_11)	COMPLETED	0	2025-10-10 13:45:41.367	136ms	89ms	162.5%	9.8 MB	404 MB	1.5 MB	789.6 KB
14	c7/b3f7df	255480	FREYJA_ALIGN (Aligning mixture_15)	COMPLETED	0	2025-10-10 13:45:41.508	129ms	76ms	151.8%	3.5 MB	7.2 MB	1.3 MB	636.9 KB
10	b1/ca9c6f	255665	FREYJA_ALIGN (Aligning mixture_13)	COMPLETED	0	2025-10-10 13:45:41.642	284ms	146ms	125.0%	22 MB	1.3 GB	2 MB	1.1 MB
9	75/a198c6	255844	FREYJA_ALIGN (Aligning mixture_13)	COMPLETED	0	2025-10-10 13:45:41.931	158ms	114ms	155.5%	16.5 MB	1.3 GB	2 MB	1.1 MB
13	79/0c5259	256034	FREYJA_ALIGN (Aligning mixture_15)	COMPLETED	0	2025-10-10 13:45:42.096	129ms	80ms	147.0%	3.3 MB	7.2 MB	1.3 MB	634.9 KB
25	07/f13d9b	256214	FREYJA_ALIGN (Aligning mixture_20)	COMPLETED	0	2025-10-10 13:45:42.230	145ms	96ms	141.4%	9.9 MB	404 MB	1.8 MB	949.6 KB
11	f7/453c0f	256399	FREYJA_ALIGN (Aligning mixture_14)	COMPLETED	0	2025-10-10 13:45:42.379	144ms	97ms	150.6%	9.9 MB	404 MB	1.8 MB	945.7 KB
12	a5/6c1065	256583	FREYJA_ALIGN (Aligning mixture_14)	COMPLETED	0	2025-10-10 13:45:42.528	138ms	95ms	164.1%	9.9 MB	348 MB	1.8 MB	949.3 KB
18	d4/c94bac	256768	FREYJA_ALIGN (Aligning mixture_17)	COMPLETED	0	2025-10-10 13:45:42.672	200ms	160ms	169.7%	20.1 MB	1.1 GB	3.1 MB	1.7 MB
21	ab/4c6028	256948	FREYJA_ALIGN (Aligning mixture_19)	COMPLETED	0	2025-10-10 13:45:42.877	143ms	94ms	152.8%	9.8 MB	348 MB	1.8 MB	946.9 KB
8	b8/517a79	257134	FREYJA_ALIGN (Aligning mixture_12)	COMPLETED	0	2025-10-10 13:45:43.026	126ms	73ms	144.9%	3.4 MB	7.2 MB	1.3 MB	634.4 KB
2	9a/6838e5	257315	FREYJA_ALIGN (Aligning mixture_1)	COMPLETED	0	2025-10-10 13:45:43.156	1.2s	1.1s	189.6%	24.2 MB	433.5 MB	26.2 MB	15.1 MB
15	5f/ccfaad	257538	FREYJA_ALIGN (Aligning mixture_16)	COMPLETED	0	2025-10-10 13:45:44.335	132ms	61ms	129.7%	3.5 MB	7.2 MB	1014.7 KB	477.3 KB
17	05/34f4e5	257723	FREYJA_ALIGN (Aligning mixture_17)	COMPLETED	0	2025-10-10 13:45:44.472	192ms	154ms	166.8%	22.2 MB	1.1 GB	3.1 MB	1.7 MB
6	3a/4c6237	257908	FREYJA_ALIGN (Aligning mixture_11)	COMPLETED	0	2025-10-10 13:45:44.669	129ms	84ms	159.5%	3.5 MB	7.2 MB	1.5 MB	791.9 KB
7	77/0886b4	258090	FREYJA_ALIGN (Aligning mixture_12)	COMPLETED	0	2025-10-10 13:45:44.802	125ms	73ms	160.0%	3.4 MB	7.2 MB	1.3 MB	632.4 KB
22	06/c8777d	258266	FREYJA_ALIGN (Aligning mixture_19)	COMPLETED	0	2025-10-10 13:45:44.947	1.2s	364ms	47.2%	3.5 MB	7.2 MB	1.8 MB	950.2 KB
23	18/ed2ac5	258450	FREYJA_ALIGN (Aligning mixture_1)	COMPLETED	0	2025-10-10 13:45:46.141	2.7s	2.3s	114.3%	24.8 MB	425.5 MB	26.5 MB	15.4 MB
16	08/cff76d	258693	FREYJA_ALIGN (Aligning mixture_16)	COMPLETED	0	2025-10-10 13:45:48.883	570ms	213ms	32.6%	3.5 MB	7.2 MB	1016.6 KB	479.1 KB
27	66/172016	258894	FREYJA_ALIGN (Aligning mixture_21)	COMPLETED	0	2025-10-10 13:45:49.458	148ms	108ms	146.6%	16.4 MB	1.2 GB	1.8 MB	951.4 KB
26	4d/342b31	259078	FREYJA_ALIGN (Aligning mixture_20)	COMPLETED	0	2025-10-10 13:45:49.610	138ms	98ms	166.0%	9.8 MB	348 MB	1.8 MB	953 KB
19	66/f1cc3a	259261	FREYJA_ALIGN (Aligning mixture_18)	COMPLETED	0	2025-10-10 13:45:49.752	141ms	100ms	162.7%	9.6 MB	404 MB	1.8 MB	948.9 KB
30	bd/e5d361	259446	FREYJA_ALIGN (Aligning mixture_22)	COMPLETED	0	2025-10-10 13:45:49.897	137ms	93ms	149.1%	10 MB	348 MB	1.5 MB	792.2 KB
33	a9/bed649	259629	FREYJA_ALIGN (Aligning mixture_24)	COMPLETED	0	2025-10-10 13:45:50.039	161ms	89ms	149.1%	3.3 MB	7.2 MB	1.3 MB	632.9 KB
28	74/188ee3	259823	FREYJA_ALIGN (Aligning mixture_21)	COMPLETED	0	2025-10-10 13:45:50.204	154ms	106ms	163.4%	9.7 MB	348 MB	1.8 MB	955 KB
31	63/d8353d	260009	FREYJA_ALIGN (Aligning mixture_23)	COMPLETED	0	2025-10-10 13:45:50.362	129ms	76ms	139.6%	3.4 MB	7.2 MB	1.3 MB	637.2 KB
35	8d/635209	260192	FREYJA_ALIGN (Aligning mixture_25)	COMPLETED	0	2025-10-10 13:45:50.496	129ms	80ms	156.1%	3.3 MB	7.2 MB	1.3 MB	634.6 KB
24	10/ce9f76	260376	FREYJA_ALIGN (Aligning mixture_2)	COMPLETED	0	2025-10-10 13:45:50.630	1.2s	1.1s	189.0%	24.1 MB	377.5 MB	26.2 MB	15 MB
36	4e/11ec44	260634	FREYJA_ALIGN (Aligning mixture_25)	COMPLETED	0	2025-10-10 13:45:51.823	134ms	80ms	157.7%	3.5 MB	7.2 MB	1.3 MB	637.2 KB
32	1c/36f7ed	260818	FREYJA_ALIGN (Aligning mixture_23)	COMPLETED	0	2025-10-10 13:45:51.962	130ms	76ms	141.7%	3.5 MB	7.2 MB	1.3 MB	640.5 KB
29	7d/cf5d7e	261000	FREYJA_ALIGN (Aligning mixture_22)	COMPLETED	0	2025-10-10 13:45:52.098	132ms	90ms	150.5%	9.9 MB	348 MB	1.5 MB	789.3 KB
46	de/ed2b70	261182	FREYJA_ALIGN (Aligning mixture_3)	COMPLETED	0	2025-10-10 13:45:52.234	1.2s	1.1s	188.0%	24.4 MB	377.5 MB	26.2 MB	15.1 MB
43	f7/b938d5	261418	FREYJA_ALIGN (Aligning mixture_29)	COMPLETED	0	2025-10-10 13:45:53.429	127ms	76ms	143.3%	3.5 MB	7.2 MB	1.3 MB	633 KB
37	e2/ebb74a	261601	FREYJA_ALIGN (Aligning mixture_26)	COMPLETED	0	2025-10-10 13:45:53.560	130ms	78ms	148.6%	3.4 MB	7.2 MB	1.3 MB	635.8 KB
39	cf/d0df35	261785	FREYJA_ALIGN (Aligning mixture_27)	COMPLETED	0	2025-10-10 13:45:53.694	135ms	76ms	135.7%	3.4 MB	7.2 MB	1.3 MB	634.4 KB
20	f7/870daa	261968	FREYJA_ALIGN (Aligning mixture_18)	COMPLETED	0	2025-10-10 13:45:53.834	143ms	103ms	158.7%	10 MB	348 MB	1.8 MB	952.8 KB
41	fd/4d6310	262151	FREYJA_ALIGN (Aligning mixture_28)	COMPLETED	0	2025-10-10 13:45:53.981	133ms	77ms	165.3%	3.5 MB	7.2 MB	1.3 MB	631.7 KB
40	ac/fc6826	262333	FREYJA_ALIGN (Aligning mixture_27)	COMPLETED	0	2025-10-10 13:45:54.117	131ms	77ms	149.6%	3.3 MB	7.2 MB	1.3 MB	637 KB
34	3c/9fda71	262525	FREYJA_ALIGN (Aligning mixture_24)	COMPLETED	0	2025-10-10 13:45:54.252	131ms	80ms	158.3%	3.3 MB	7.2 MB	1.3 MB	635.3 KB
38	bd/e5ce31	262708	FREYJA_ALIGN (Aligning mixture_26)	COMPLETED	0	2025-10-10 13:45:54.387	136ms	87ms	169.0%	9.4 MB	404 MB	1.3 MB	638.8 KB
45	c3/b825e1	262887	FREYJA_ALIGN (Aligning mixture_2)	COMPLETED	0	2025-10-10 13:45:54.527	1.2s	1.2s	185.1%	24 MB	433.5 MB	26.5 MB	15.4 MB
47	a7/32e746	263130	FREYJA_ALIGN (Aligning mixture_30)	COMPLETED	0	2025-10-10 13:45:55.738	138ms	78ms	149.6%	3.3 MB	7.2 MB	1.3 MB	633.1 KB
44	ee/98644a	263321	FREYJA_ALIGN (Aligning mixture_29)	COMPLETED	0	2025-10-10 13:45:55.880	128ms	74ms	155.2%	3.4 MB	7.2 MB	1.3 MB	635.6 KB
73	3b/2b7c5e	263504	FREYJA_ALIGN (Aligning mixture_42)	COMPLETED	0	2025-10-10 13:45:56.012	241ms	199ms	187.1%	17.4 MB	377.3 MB	3.4 MB	1.9 MB
50	43/1e85a8	263688	FREYJA_ALIGN (Aligning mixture_31)	COMPLETED	0	2025-10-10 13:45:56.258	136ms	56ms	120.8%	3.3 MB	7.2 MB	745 KB	320.4 KB
49	9c/e55398	263868	FREYJA_ALIGN (Aligning mixture_31)	COMPLETED	0	2025-10-10 13:45:56.399	131ms	51ms	144.0%	3.4 MB	7.2 MB	743.5 KB	318.9 KB
