Sample,Lineage,True_Abundance,Predicted_Abundance,absolute_error
S1,Alpha,0.901,0.416,0.48500000000000004
S2,Alpha,3.225,2.707,0.5180000000000002
S3,Alpha,8.211,7.922,0.2890000000000006
S4,Alpha,5.664,5.112,0.5519999999999996
S5,Alpha,5.454,4.968,0.48599999999999977
S6,Alpha,9.69,9.481,0.20899999999999963
S7,Alpha,12.816,12.781,0.03500000000000014
S8,Alpha,13.509,13.431,0.07800000000000118
S9,Alpha,20.555,20.542,0.012999999999998124
S10,Alpha,28.074,27.857,0.2170000000000023
S11,Alpha,39.221,39.611,0.39000000000000057
S12,Alpha,43.73,2.623,41.107
S13,Alpha,52.638,53.248,0.6099999999999994
S14,Alpha,59.192,59.821,0.6289999999999978
S15,Alpha,63.386,63.807,0.4209999999999994
S16,Alpha,68.156,68.892,0.73599999999999
S17,Alpha,71.272,72.049,0.777000000000001
S18,Alpha,71.693,72.129,0.43600000000000705
S19,Alpha,72.674,73.533,0.8589999999999947
S20,Alpha,73.363,74.393,1.0300000000000011
S21,Alpha,73.655,74.808,1.1530000000000058
S22,Alpha,72.514,73.136,0.6219999999999999
S23,Alpha,70.802,71.572,0.769999999999996
S24,Alpha,66.962,67.587,0.625
S25,Alpha,58.024,58.113,0.08899999999999864
S26,Alpha,49.989,49.845,0.14399999999999835
S27,Alpha,39.35,39.374,0.02400000000000091
S28,Alpha,24.301,39.152,14.851000000000003
S29,Alpha,15.025,14.584,0.4410000000000007
S30,Alpha,7.749,7.309,0.4399999999999995
S31,Alpha,3.907,3.227,0.6800000000000002
S32,Alpha,1.931,1.353,0.5780000000000001
S33,Alpha,1.051,0.549,0.5019999999999999
S34,Alpha,0.48,0.207,0.273
S35,Alpha,0.254,0.0,0.254
S36,Alpha,0.142,0.0,0.142
S37,Alpha,0.065,0.0,0.065
S38,Alpha,0.05,0.0,0.05
S39,Alpha,0.029,0.0,0.029
S40,Alpha,0.054,0.0,0.054
S41,Alpha,0.005,0.0,0.005
S42,Alpha,0.008,0.0,0.008
S3,Beta,0.182,0.0,0.182
S4,Beta,0.129,0.0,0.129
S5,Beta,0.122,0.0,0.122
S6,Beta,0.169,0.0,0.169
S7,Beta,0.394,0.137,0.257
S8,Beta,0.305,0.165,0.13999999999999999
S9,Beta,0.462,0.265,0.197
S10,Beta,0.752,0.412,0.34
S11,Beta,0.848,0.447,0.40099999999999997
S12,Beta,0.879,0.0,0.879
S13,Beta,0.966,0.251,0.715
S14,Beta,0.986,0.618,0.368
S15,Beta,0.962,0.519,0.44299999999999995
S16,Beta,0.941,0.53,0.4109999999999999
S17,Beta,0.984,0.557,0.42699999999999994
S18,Beta,0.935,0.549,0.386
S19,Beta,0.83,0.467,0.36299999999999993
S20,Beta,0.914,0.527,0.387
S21,Beta,0.907,0.507,0.4
S22,Beta,0.733,0.417,0.316
S23,Beta,0.851,0.35,0.501
S24,Beta,0.536,0.225,0.31100000000000005
S25,Beta,0.331,0.16,0.171
S26,Beta,0.22,0.0,0.22
S27,Beta,0.12,0.0,0.12
S28,Beta,0.05,0.0,0.05
S29,Beta,0.062,0.0,0.062
S30,Beta,0.028,0.0,0.028
S31,Beta,0.014,0.0,0.014
S32,Beta,0.014,0.0,0.014
S34,Beta,0.002,0.0,0.002
S1,Delta,0.128,0.0,0.128
S2,Delta,0.444,0.0,0.444
S3,Delta,0.669,0.0,0.669
S4,Delta,0.284,0.0,0.284
S5,Delta,0.531,0.0,0.531
S6,Delta,0.12,0.0,0.12
S7,Delta,0.037,0.0,0.037
S8,Delta,0.051,0.0,0.051
S9,Delta,0.06,0.0,0.06
