Lineage,n_samples,MAE,RMSE,R2,Pearson_r,Pearson_p,True_Mean,Pred_Mean,True_Max,Pred_Max
Alpha,42,1.7065714285714282,6.761464077859948,0.9446772048349958,0.9733611522020207,3.340336855901019e-27,28.804071428571433,28.241404761904764,73.655,74.808
Beta,31,0.27499999999999997,0.34070775481862514,0.1761613583286118,0.8923951063937358,1.55296018468951e-11,0.5041290322580645,0.2291290322580645,0.986,0.618
Delta,42,0.7822142857142848,2.861932534727771,0.9958192866494248,0.9980455542726011,8.542502794549581e-50,36.69083333333333,35.95804761904762,99.984,99.373
Epsilon,36,1.7908333333333337,8.414419597730234,0.9446336757876096,0.9759782989847251,4.3805547779955055e-24,28.62944444444444,30.154777777777774,98.132,98.664
Eta,28,0.16271428571428573,0.18779186807283674,-0.12003262180280272,0.8794638242346654,7.220880941017745e-10,0.2750357142857143,0.11232142857142857,0.613,0.33
Gamma,39,0.30692307692307697,0.4352793974519743,0.9909816309996969,0.9968912421270161,1.9301988897640897e-42,3.8013076923076916,3.5766410256410257,13.704,13.431
Iota,40,0.3806499999999998,1.241637688699888,0.9373144039097864,0.9708824416717773,3.458309913051755e-25,5.510475,5.178575,15.055,15.035
Kappa,16,0.0660625,0.08613252869851204,-0.8607086348027568,0.48532352303285614,0.056700501020168825,0.0733125,0.00725,0.193,0.116
Lambda,34,0.12676470588235292,0.1491000453702539,-0.08092768673106843,0.8947056775641082,9.779333419570282e-13,0.18526470588235294,0.0585,0.46,0.236
Theta,12,0.008000000000000002,0.009064583093924767,-3.522935779816514,,,0.008000000000000002,0.0,0.017,0.0
Zeta,24,0.2824583333333333,0.355479312572007,0.7373670261515884,0.9735351699205417,1.359894857907439e-15,0.7838333333333334,0.510125,2.054,1.517
