Sample,MAE,RMSE,Dominant_Lineage,Dominant_Abundance
S1,0.31459999999999927,0.3539019638261411,Epsilon,98.132
S2,0.6030000000000018,0.6534182427817606,Epsilon,91.657
S3,0.4668571428571436,0.5631645281037213,Epsilon,86.678
S4,0.49487500000000034,0.6373185035757246,Epsilon,89.73
S5,0.44525000000000026,0.5755267152791438,Epsilon,90.357
S6,0.3047777777777777,0.4202846918723332,Epsilon,84.001
S7,0.25788888888888895,0.35958293742736036,Epsilon,78.701
S8,0.18722222222222332,0.23923187264428183,Epsilon,78.666
S9,0.19444444444444473,0.27231109660337693,Epsilon,68.716
S10,0.21911111111111178,0.2514495752410195,Epsilon,60.096
S11,0.27510000000000034,0.3298980145438897,Epsilon,46.54
S12,9.241272727272728,19.745117085681528,Alpha,43.73
S13,0.2595454545454545,0.35371213257007833,Alpha,52.638
S14,0.2596363636363633,0.32537027857783485,Alpha,59.192
S15,0.21409090909090872,0.30121375677868234,Alpha,63.386
S16,0.24627272727272628,0.331676869037538,Alpha,68.156
S17,0.2733636363636366,0.34823803249031754,Alpha,71.272
S18,0.26230000000000053,0.3016499627051205,Alpha,71.693
S19,0.31349999999999933,0.41911179892720635,Alpha,72.674
S20,0.32000000000000034,0.47076707230183024,Alpha,73.363
S21,0.3325454545454551,0.5027911187470502,Alpha,73.655
S22,0.2774545454545454,0.4073153792601234,Alpha,72.514
S23,0.3130999999999994,0.4280578231968193,Alpha,70.802
S24,0.2536363636363634,0.3358709167630811,Alpha,66.962
S25,0.1766999999999999,0.20539206411154254,Alpha,58.024
S26,0.20250000000000015,0.2168818802943207,Alpha,49.989
S27,0.17222222222222208,0.23041074434824213,Delta,46.363
S28,3.985999999999999,7.882434902997928,Delta,64.57
S29,0.22725000000000076,0.28740172233304423,Delta,77.618
S30,0.282571428571428,0.34464847515776265,Delta,88.004
S31,0.23537499999999936,0.34192415094579026,Delta,93.662
S32,0.20442857142857251,0.3158532661130574,Delta,96.704
S33,0.17733333333333215,0.2627971334191702,Delta,98.147
S34,0.1466666666666671,0.18624893735714773,Delta,98.651
S35,0.17399999999999777,0.21698571381544574,Delta,99.457
S36,0.13366666666666646,0.1723649229590131,Delta,99.533
S37,0.10400000000000041,0.1874522161334288,Delta,99.811
S38,0.1380000000000007,0.2654822027933338,Delta,99.894
S39,0.12999999999999973,0.2640280288151235,Delta,99.935
S40,0.1545999999999995,0.25603085751526006,Delta,99.78
S41,0.22466666666666393,0.38052857974138604,Delta,99.984
S42,0.2086666666666648,0.34828053826381267,Delta,99.976
