Sample,Lineage,True_Abundance,Predicted_Abundance,absolute_error
S1,Alpha,0.901,1.382,0.48099999999999987
S2,Alpha,3.225,4.809,1.584
S3,Alpha,8.211,11.627,3.4160000000000004
S4,Alpha,5.664,8.408,2.7439999999999998
S5,Alpha,5.454,8.268,2.814000000000001
S6,Alpha,9.69,13.277,3.5869999999999997
S7,Alpha,12.816,16.68,3.863999999999999
S8,Alpha,13.509,17.5,3.9909999999999997
S9,Alpha,20.555,23.873,3.3180000000000014
S10,Alpha,28.074,30.2,2.1259999999999977
S11,Alpha,39.221,39.119,0.10199999999999676
S12,Alpha,43.73,4.906,38.824
S13,Alpha,52.638,49.359,3.2789999999999964
S14,Alpha,59.192,54.022,5.170000000000002
S15,Alpha,63.386,56.967,6.419000000000004
S16,Alpha,68.156,60.318,7.838000000000008
S17,Alpha,71.272,62.472,8.800000000000004
S18,Alpha,71.693,62.563,9.129999999999995
S19,Alpha,72.674,63.449,9.225000000000009
S20,Alpha,73.363,63.655,9.707999999999998
S21,Alpha,73.655,63.768,9.887
S22,Alpha,72.514,62.807,9.706999999999994
S23,Alpha,70.802,61.157,9.64500000000001
S24,Alpha,66.962,58.007,8.955000000000005
S25,Alpha,58.024,50.622,7.402000000000001
S26,Alpha,49.989,44.321,5.667999999999999
S27,Alpha,39.35,35.78,3.5700000000000003
S28,Alpha,24.301,35.765,11.464000000000002
S29,Alpha,15.025,14.902,0.12300000000000111
S30,Alpha,7.749,7.922,0.17300000000000004
S31,Alpha,3.907,3.709,0.19799999999999995
S32,Alpha,1.931,1.646,0.28500000000000014
S33,Alpha,1.051,0.711,0.33999999999999997
S34,Alpha,0.48,0.343,0.13699999999999996
S35,Alpha,0.254,0.176,0.07800000000000001
S36,Alpha,0.142,0.111,0.030999999999999986
S37,Alpha,0.065,0.072,0.006999999999999992
S38,Alpha,0.05,0.071,0.02099999999999999
S39,Alpha,0.029,0.053,0.023999999999999997
S40,Alpha,0.054,0.054,0.0
S41,Alpha,0.005,0.037,0.032
S42,Alpha,0.008,0.04,0.032
S1,Beta,0.0,1.484,1.484
S2,Beta,0.0,0.479,0.479
S3,Beta,0.182,0.812,0.6300000000000001
S4,Beta,0.129,0.954,0.825
S5,Beta,0.122,0.885,0.763
S6,Beta,0.169,0.608,0.43899999999999995
S7,Beta,0.394,0.649,0.255
S8,Beta,0.305,0.611,0.306
S9,Beta,0.462,0.579,0.11699999999999994
S10,Beta,0.752,0.717,0.03500000000000003
S11,Beta,0.848,0.726,0.122
S12,Beta,0.879,0.658,0.22099999999999997
S13,Beta,0.966,0.835,0.131
S14,Beta,0.986,0.898,0.08799999999999997
S15,Beta,0.962,0.788,0.17399999999999993
S16,Beta,0.941,0.896,0.04499999999999993
S17,Beta,0.984,0.943,0.041000000000000036
S18,Beta,0.935,0.875,0.06000000000000005
S19,Beta,0.83,0.743,0.08699999999999997
S20,Beta,0.914,0.749,0.16500000000000004
S21,Beta,0.907,0.784,0.123
S22,Beta,0.733,0.553,0.17999999999999994
S23,Beta,0.851,0.59,0.261
S24,Beta,0.536,0.3,0.23600000000000004
S25,Beta,0.331,0.187,0.14400000000000002
S26,Beta,0.22,0.111,0.109
S27,Beta,0.12,0.072,0.048
S28,Beta,0.05,0.069,0.019000000000000003
S29,Beta,0.062,0.047,0.015
S30,Beta,0.028,0.037,0.008999999999999998
S31,Beta,0.014,0.032,0.018000000000000002
S32,Beta,0.014,0.037,0.023
S33,Beta,0.001,0.026,0.024999999999999998
S34,Beta,0.002,0.032,0.03
S35,Beta,0.001,0.022,0.020999999999999998
S36,Beta,0.001,0.031,0.03
S37,Beta,0.001,0.024,0.023
S38,Beta,0.001,0.028,0.027
S39,Beta,0.0,0.025,0.025
S40,Beta,0.0,0.025,0.025
S41,Beta,0.0,0.031,0.031
S42,Beta,0.0,0.031,0.031
S1,Delta,0.128,3.654,3.526
S2,Delta,0.444,2.808,2.364
S3,Delta,0.669,2.603,1.9340000000000002
S4,Delta,0.284,2.237,1.953
S5,Delta,0.531,2.799,2.268
S6,Delta,0.12,1.393,1.2730000000000001
S7,Delta,0.037,1.04,1.0030000000000001
S8,Delta,0.051,1.131,1.08
S9,Delta,0.06,0.827,0.7669999999999999
S10,Delta,0.014,0.565,0.5509999999999999
S11,Delta,0.066,0.509,0.443
S12,Delta,0.017,2.628,2.611
S13,Delta,0.041,0.361,0.32
S14,Delta,0.06,0.346,0.286
S15,Delta,0.076,0.312,0.236
S16,Delta,0.126,0.313,0.187
S17,Delta,0.205,0.38,0.17500000000000002
S18,Delta,0.491,0.639,0.14800000000000002
S19,Delta,1.133,1.336,0.20300000000000007
S20,Delta,1.56,1.831,0.2709999999999999
S21,Delta,2.258,2.759,0.5009999999999999
S22,Delta,3.193,3.961,0.7679999999999998
S23,Delta,5.351,6.405,1.0540000000000003
S24,Delta,10.03,10.954,0.9240000000000013
S25,Delta,19.942,18.304,1.6380000000000017
S26,Delta,32.039,26.312,5.727
S27,Delta,46.363,34.828,11.534999999999997
S28,Delta,64.57,34.775,29.794999999999995
S29,Delta,77.618,51.956,25.661999999999992
S30,Delta,88.004,57.285,30.71900000000001
S31,Delta,93.662,60.183,33.479000000000006
S32,Delta,96.704,61.72,34.983999999999995
S33,Delta,98.147,62.259,35.888000000000005
S34,Delta,98.651,62.6,36.050999999999995
S35,Delta,99.457,62.897,36.559999999999995
S36,Delta,99.533,62.781,36.752
S37,Delta,99.811,62.954,36.857000000000006
S38,Delta,99.894,62.998,36.89600000000001
S39,Delta,99.935,62.772,37.163000000000004
S40,Delta,99.78,62.926,36.854
S41,Delta,99.984,62.94,37.044
S42,Delta,99.976,63.135,36.841
S1,Epsilon,98.132,70.113,28.019000000000005
S2,Epsilon,91.657,66.736,24.920999999999992
S3,Epsilon,86.678,63.485,23.192999999999998
S4,Epsilon,89.73,65.562,24.168000000000006
S5,Epsilon,90.357,65.827,24.53
S6,Epsilon,84.001,61.824,22.177000000000007
S7,Epsilon,78.701,58.336,20.364999999999995
S8,Epsilon,78.666,58.171,20.494999999999997
S9,Epsilon,68.716,51.937,16.778999999999996
S10,Epsilon,60.096,46.295,13.800999999999995
S11,Epsilon,46.54,37.277,9.262999999999998
S12,Epsilon,42.697,66.67,23.973
S13,Epsilon,30.4,26.009,4.390999999999998
S14,Epsilon,23.009,20.577,2.4319999999999986
S15,Epsilon,16.452,15.561,0.8910000000000018
S16,Epsilon,11.588,11.185,0.4029999999999987
S17,Epsilon,8.356,8.196,0.16000000000000014
S18,Epsilon,6.26,6.056,0.20399999999999974
S19,Epsilon,4.876,4.475,0.4010000000000007
S20,Epsilon,3.653,3.269,0.3839999999999999
S21,Epsilon,2.952,2.514,0.43800000000000017
S22,Epsilon,2.273,1.748,0.5250000000000001
S23,Epsilon,1.491,1.066,0.42500000000000004
S24,Epsilon,1.309,0.838,0.471
S25,Epsilon,0.741,0.418,0.323
S26,Epsilon,0.49,0.254,0.236
S27,Epsilon,0.29,0.153,0.13699999999999998
S28,Epsilon,0.192,0.154,0.038000000000000006
S29,Epsilon,0.062,0.067,0.0050000000000000044
S30,Epsilon,0.028,0.049,0.021
S31,Epsilon,0.008,0.047,0.039
