Lineage,n_samples,MAE,RMSE,R2,Pearson_r,Pearson_p,True_Mean,Pred_Mean,True_Max,Pred_Max
Alpha,42,4.623785714285715,7.9780609486265535,0.9229775508728453,0.970803749149729,2.0410081164591997e-26,28.804071428571433,26.069714285714284,73.655,63.768
Beta,42,0.18857142857142856,0.33924903059832723,0.24797934534388522,0.6413210701342684,4.7353225582623525e-06,0.3722142857142857,0.4519761904761904,0.986,1.484
Delta,42,13.459309523809525,20.994561005968503,0.7750193310441353,0.9975747841532225,6.37190233671514e-48,36.69083333333333,24.414666666666665,99.984,63.135
Epsilon,42,6.286999999999999,11.564061053437024,0.8882322487374327,0.9785342409996759,4.6661519355218564e-29,24.539571428571428,19.416333333333334,98.132,70.113
Eta,42,0.07559523809523808,0.10943828441289682,0.6831621901012821,0.9266820985338261,1.3489054742923946e-18,0.18335714285714286,0.13790476190476192,0.613,0.37
Gamma,42,1.2680238095238092,1.6794380225029357,0.8621915294434137,0.9802330488602318,9.111004230208412e-30,3.5297857142857136,4.72952380952381,13.704,15.49
Iota,42,4.712119047619048,5.07390554231954,-0.038102797685138245,0.9411039244281038,1.9316843167810686e-20,5.2480714285714285,9.960190476190476,15.055,20.286
Kappa,42,7.818928571428571,12.02473371747543,-51940.58791731433,-0.40669286893677115,0.007523211262971313,0.027976190476190477,7.846904761904762,0.193,21.766
Lambda,42,5.192261904761905,6.65971778860107,-2020.372213637711,-0.392449383867922,0.01015054351872817,0.14997619047619049,5.342238095238095,0.46,10.949
Zeta,42,1.1407619047619046,2.2107688169287996,-10.489016792733015,0.8542820597721061,6.260650871623436e-13,0.4479047619047619,1.5886666666666667,2.054,8.083
